close,﻿"닫기"
"An error occurred while showing the product views report. Please review the log and try again.",﻿"상품 조회 보고서 렌더링 하는 동안 오류가 발생 했습니다. 로그를 확인 하 고 다시 시도 하십시오"
Review,﻿"이용 후기"
Reviews,﻿"이용 후기"
"Customers Report",﻿"고객 보고"
"Customer Reviews Report",﻿"고객 검토 보고"
"Product Reviews Report",﻿"상품 후기 보고"
"Product Reviews",﻿"상품 리뷰"
"Best Sellers Report",﻿"베스트 보고서"
Coupons,﻿"쿠폰"
"Coupons Report",﻿"쿠폰 보고"
"Invoice Report",﻿"송장 보고서"
"Refunds Report",﻿"환불 보고서"
"Sales Report",﻿"영업 보고서"
"Shipping Report",﻿"배송 보고서"
"Tax Report",﻿"세금 리포트"
"Abandoned Carts",﻿"비활성화 된 쇼핑 카트"
"Customer Shopping Carts",﻿"쇼핑 카트"
"Products in Carts",﻿"장바구니에 들어 있는 제품"
Statistics,﻿"통계"
"No report code is specified.",﻿"보고서 코드를 지정 하지 않았습니다."
"We updated lifetime statistics.",﻿"방문 시간 통계를 업데이트 했습니다."
"We can't refresh lifetime statistics.",﻿"방문 시간 통계를 업데이트할 수 없습니다."
"Recent statistics have been updated.",﻿"통계를 업데이트 했습니다."
"We can't refresh recent statistics.",﻿"최근 통계를 업데이트할 수 없습니다."
"The product type filter specified is incorrect.",﻿"지정 된 필터 상품 유형은 올바르지 않습니다"
"Order Taxes Report Grouped by Tax Rates",﻿"주문 세금 보고서를 세율 그룹"
"Total Invoiced VS Paid Report",﻿"청구액과 지급액의 보고서"
"Promotion Coupons Usage Report",﻿"쿠폰 사용 보고서"
"Most Viewed Products Report",﻿"가장 많이 본 상품 보고서"
"Show By",﻿"표시 대상"
"Select Date",﻿"날짜를 선택"
"Customers that have Wish List: %1%",﻿"위시리스트을 가진 고객: %1%"
"Number of Wish Lists: %1",﻿"위시리스트 목록 수: %1"
"Number of items bought from a Wish List: %1",﻿"위시 리스트에서 팔린 상품 수: %1"
"Number of times Wish Lists have been shared (emailed): %1",﻿"위시리스트 목록이 공유 된 횟수 (E 메일): %1"
"Number of Wish List referrals: %1",﻿"위시리스트에 참조 된 수: %1"
"Number of Wish List conversions: %1",﻿"위시리스트 전환 수: %1"
"Show Report For:",﻿"보고서를 표시 합니다:"
"Recently Viewed",﻿"최근 본 상품"
"Recently Compared",﻿"최근 비교 상품"
"Recently Compared Products",﻿"최근 비교 상품"
"Recently Viewed Products",﻿"최근 본 상품"
"Recently Viewed/Compared Products",﻿"최근에 보인/비교 된 상품"
"Show for Current",﻿"최근 보기"
"Default Recently Viewed Products Count",﻿"표준의 최근 본 상품 수"
"Default Recently Compared Products Count",﻿"표준의 최근 비교 되는 상품 수"
"Year-To-Date Starts",﻿"시작 날짜"
"Current Month Starts",﻿"현재 월부터 시작"
"Select day of the month.",﻿"월과 날짜를 선택 하십시오."
"List of Products Recently Viewed by Visitor",﻿"방문자에 게 최근에 표시 된 상품의 목록"
"Number of Products to display",﻿"상품 디스플레이"
"Viewed Products Grid Template",﻿"검색 된 상품 표 서식"
"Viewed Products List Template",﻿"보기의 많은 제품 목록 서식 파일"
"Viewed Products Images and Names Template",﻿"검색 된 상품의 이미지와 이름 템플릿"
"Viewed Products Names Only Template",﻿"검색 된 상품 이름만 템플릿"
"Viewed Products Images Only Template",﻿"검색 된 상품 사진만 템플릿"
"List of Products Recently Compared and Removed from the Compare List by Visitor",﻿"방문자는 비교 명부에서 최근에 비교 된 명부에서 제거 된 상품 목록"
"Compared Products Grid Template",﻿"상품 비교 표 서식"
"Compared Products List Template",﻿"상품 비교 목록 서식 파일"
"Compared Products Images and Names Template",﻿"상품 비교 사진과 이름 템플릿"
"Compared Product Names Only Template",﻿"상품 비교 이름만 템플릿"
"Compared Product Images Only Template",﻿"상품 비교 사진만 템플릿"
"Stock Quantity",﻿"재고량"
"Ordered Quantity",﻿"주문 횟수"
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.",﻿"이 보고서는 표준 시간대 데이터를 사용 합니다. 상점에 대 한 표준 시간대를 변경할 때, 항상 유지 시간 통계를 상쾌하 게 하십시오"
"Average (Approved)",﻿"평균 (허용)"
"Last Review",﻿"최신 리뷰"
"Order Created Date",﻿"주문 작성 날짜"
"Order Updated Date",﻿"주문 업데이트"
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.","주문 업데이트 검토 보고서는 실시간으로 표시 됩니다 때문에 새로 고칠 필요가 없습니다."
"Last Invoice Created Date",﻿"최근의 송장 만든 날짜"
"Last Credit Memo Created Date",﻿"최근의 신용 메모 작성 날짜"
"First Invoice Created Date",﻿"처음 송장 만든 날짜"
"Refresh Lifetime Statistics",﻿"집계 기간 동안 통계를 업데이트"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.",﻿"통계를 업데이트 해도 상관 없나요? 과정 중 시스템의 성능에 영향을 미칩니다."
"Refresh Statistics for the Last Day",﻿"오늘 통계 업데이트"
"Are you sure you want to refresh statistics for last day?",﻿"마지막 날의 통계를 정말로 재생 하 시겠습니까?"
Report,﻿"보고서"
undefined,﻿"정의 되지 않은"
"Invalid discount amount.",﻿"잘못 된 할인 금액입니다."
"End Date must follow Start Date.",﻿"끝 날짜는 시작 날짜 보다 나중 이어야 합니다 없습니다."
"Websites must be specified.",﻿"웹 사이트를 지정 하십시오."
"Customer Groups must be specified.",﻿"고객 그룹을 지정 하십시오."
by,﻿"더"
"Please choose an action to add.",﻿"추가 작업을 선택 하십시오"
"Perform following actions",﻿"다음의 작업을 평가 하는"
is,﻿"같은지"
"is not",﻿"같지 않음"
"equals or greater than",﻿"같거나 더 큰"
"equals or less than",﻿"크거나 작은"
"greater than",﻿"더 큰"
"less than",﻿"더 작은"
contains,﻿"포함 하는"
"does not contain",﻿"포함 하지 않음"
"is one of",﻿"중 하나"
"is not one of",﻿"중 하나는 없다"
ALL,﻿"모든"
ANY,﻿"중 하나"
TRUE,﻿"TRUE"
FALSE,﻿"FALSE"
"If %1 of these conditions are %2:",﻿"만약 %1 조건이 %2:"
"Unknown condition operator",﻿"알 수 없는 조건의 사용자"
"There is no information about associated entity type ""%1"".",﻿"관련 엔터티 유형 ""%1""에 대 한 정보는 없습니다 "
"Please wait, loading...",読み込み中です
Never,﻿"아직"
Generate,﻿"생성"
"Save & Generate",﻿"저장 하 고 생성"
"Edit Sitemap",﻿"사이트 맵 편집"
"New Sitemap",﻿"새 사이트 맵"
"Sitemap Information",﻿"사이트 맵 정보"
Sitemap,﻿"사이트 맵"
Filename,﻿"파일 이름"
"example: sitemap.xml",﻿"예: sitemap.xml"
Path,﻿"경로"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)",﻿"예: ""/sitemap/"" or ""/"" 기본경로를 위한  (경로는 쓰기가능해야함)"
"XML Sitemap",﻿"XML 사이트 맵"
"Add Sitemap",﻿"사이트 맵 추가"
"You deleted the sitemap.",﻿"사이트 맵을 삭제 했습니다."
"We can't find a sitemap to delete.",﻿"삭제할 사이트 맵을 찾을 수 없습니다."
"This sitemap no longer exists.",﻿"사이트맵은 존재 하지 않습니다."
"Site Map",﻿"사이트 맵"
"New Site Map",﻿"New Site Map"
"The sitemap ""%1"" has been generated.",﻿"사이트맵 ""%1"" 오류가 발생 했습니다"
"We can't generate the sitemap right now.",﻿"현재 사이트 맵을 만들 수 없습니다."
"We can't find a sitemap to generate.",﻿"만들 사이트 맵을 찾을 수 없습니다."
"You saved the sitemap.",﻿"사이트 맵을 저장 했습니다"
"The priority must be between 0 and 1.",﻿"우선 순위는 0에서 1 사이의 값을 입력 하십시오."
Hourly,﻿"1 시간 마다"
Yearly,﻿"년 당"
"File handler unreachable",﻿"파일 처리기가 분실입니다"
"Please define a correct path.",﻿"올바른 경로를 정의 하십시오"
"Please create the specified folder ""%1"" before saving the sitemap.",﻿"사이트 맵을 저장 하려면 먼저 지정한 폴더 ""%1""를 만드십시오 "
"Please make sure that ""%1"" is writable by the web-server.",﻿"""%1"" 은 웹서버에 의해 쓰기 가능 하다는 것을 확인 하십시오. "
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","문자 (a-z 또는 A-Z), 숫자 (0-9) or 밑줄 (_)만 파일 이름으로 사용 하십시오. 공백이 나 다른 문자는 사용할 수 없습니다."
"Base Only",﻿"베이스만"
"Start Time",﻿"시작 시간"
Frequency,﻿"주파수"
"Error Email Recipient",﻿"메일 수신 오류"
"Error Email Sender",﻿"오류 메일 보내기"
"Error Email Template",﻿"오류 메일 템플릿"
"Categories Options",﻿"카테고리 옵션"
"Valid values range from 0.0 to 1.0.",﻿"0.0에서 1.0 사이에 유효한 값의 범위"
"Products Options",﻿"상품 옵션"
"Add Images into Sitemap",﻿"사이트 맵에 이미지 추가"
"CMS Pages Options",﻿"CMS 페이지 옵션"
"Generation Settings",﻿"생성 설정"
"Sitemap File Limits",﻿"사이트 맵 파일 제한"
"Maximum No of URLs Per File",﻿"파일 당 URL의 최대 수"
"Maximum File Size",﻿"최대 파일 크기"
"File size in bytes.",﻿"바이트의 파일 크기"
"Search Engine Submission Settings",﻿"검색 엔진 제출 설정"
"Enable Submission to Robots.txt",﻿"Robots.txt에 대 한 제출을 허용 한다"
"Link for Google",﻿"Google에 링크"
"Last Generated",﻿"마지막 채우기 날짜"
"All Store Views",﻿"전체 쇼핑몰 보기"
Admin,﻿"관리자"
"Current store is not active.",﻿"현재 상점는 활성화 되지 않습니다"
"Only default scope allowed",﻿"기본 범위에만 허용 됩니다"
"Invalid scope object",﻿"잘못 된 범위 개체"
"Store with the same code",﻿"동일한 코드 매장입니다"
"Website with the same code",﻿"동일한 코드 웹사이트입니다"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_),' ' and the first character must be a letter.","웹사이트 코드를 문자 (a-z), 숫자 (0-9) 또는 밑줄 (_)만 포함 해야 합니다, ' ' 그리고 첫 문자는 문자 이어야 합니다"
"Store Manager has been initialized not properly",﻿"상점 관리자가 올바르게 초기화 되지 않았습니다."
"Invalid website id/code requested.",﻿"악성 웹사이트 id/코드가 요청 되었습니다."
"Invalid store group id requested.",﻿"잘못 된 상점 그룹 id가 요청 되었습니다."
"Store Manager has not been initialized properly",﻿"상점 관리자가 올바르게 초기화 되지 않았습니다."
"Name is required",﻿"이름이 필요 합니다"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_),' ' and the first character must be a letter.","코드를 문자 (a-z), 숫자 (0-9) 또는 밑줄 (_)만 포함 해야 합니다, ' ' 그리고 첫번째 캐릭터는 문자 이어야 합니다"
"Your Language:",﻿"당신의 언어:"
"Your Language",﻿"당신의 언어로"
Language,﻿"언어"
"Select Store",﻿"상점 선택"
"Various XML configurations that were collected across modules and merged.",﻿"모듈 장치에서 모아 병합 된 여러 XML 설정"
Layouts,﻿"레이아웃"
"Layout building instructions.",﻿"레이아웃 구성 데이터"
"Blocks HTML output",﻿"블록 HTML 출력"
"Page blocks HTML.",﻿"블록 HTML 캐시"
"View files fallback",﻿"파일 대체 보기"
"Paths to view files (e.g., PHTML templates, images, CSS, JS files).","뷰 파일 경로 (예： PHTML templates, images, CSS, JS files)."
"View files pre-processing",﻿"파일 전처리를 본다"
"Paths to pre-processed view files (e.g, CSS files with fixed paths or generated from LESS files).","파일 전처리 보기 경로 (예를 들어, CSS 파일의 고정 된 경로 또는 LESS 파일에서 생성 된)."
"Collections Data",﻿"수집 데이터"
"Collection data files.",﻿"컬렉션 데이터 파일"
"Database DDL operations",﻿"데이터베이스 DDL 작업"
"Results of DDL queries, such as describing tables or indexes.","DDL 쿼리 결과, 예를 들면 테이블 및 인덱스에 대 한 설명"
"You did not sign in correctly or your account is temporarily disabled.",﻿"로그인 한지 귀하의 계정이 일시적으로 사용할 수 있습니다"
View,﻿"표시"
Integrations,﻿"통합"
"Add New Integration",﻿"새로운 통합을 추가"
API,﻿"API"
"Save & Activate",﻿"보존 및 활성화"
"New Integration",﻿"새로운 통합"
"Edit Integration '%1'",﻿"편집 통합 '%1'"
"Integration Info",﻿"통합 정보"
"Callback URL",﻿"콜백 URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.",﻿"토큰 교환을 위해 Oauth를 사용 시, Oauth 자격 증명을 보낼 수 있는 URL을 입력 하십시오. Https://를 사용 하는 것을 적극 권장 합니다"
"Identity link URL",﻿"신원 링크 URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.",﻿"이 Magento 통합 보안 카드 를가지고 타사 계정으로 연결 하도록 리디렉션할 URL"
"Integration Details",﻿"통합 세부 정보"
"Integration Tokens for Extensions",﻿"확장을 위한 통합 토큰"
"Consumer Key",﻿"소비자 키"
"Consumer Secret",﻿"소비자의 비밀"
"Access Token",﻿"액세스 토큰"
"Access Token Secret",﻿"액세스 토큰의 비밀"
"Uninstall the extension to remove this integration",﻿"이 통합을 제거 하는 데 확장을 제거"
Activate,﻿"사용"
Reauthorize,﻿"재인증"
"Uninstall the extension to remove integration '%1'.",﻿"통합을 제거 하는 데 확장을 제거 하는 '%1'."
"This integration no longer exists.",﻿"이 통합은 더 이상 존재 하지 않습니다"
"The integration '%1' has been deleted.",﻿"통합 '%1' 삭제 되었습니다"
"Integration ID is not specified or is invalid.",﻿"통합 ID가 지정 되지 않았거나 잘못 되었습니다."
"Internal error. Check exception log for details.",﻿"내부 오류입니다. 자세한 내용은 예외 로그를 참조 하십시오"
"View ""%1"" Integration",﻿"""%1""의 통합"
"Edit ""%1"" Integration",﻿"""%1""의 통합을 편집"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information",﻿"주의! HTTPS를 사용 하지 않을 통합은 위험 하 고 개인 정보를 노출 시킬 수 있습니다"
"The integration '%1' has been saved.",﻿"통합 '%1'에 저장 했습니다."
"The integration was not saved.",﻿"통합 저장 되지 않았습니다."
"The integration '%1' has been re-authorized.",﻿"통합 '%1' 재승인 되었습니다."
"The integration '%1' has been activated.",﻿"통합 '%1'이 발동 되었습니다"
"Integration '%1' has been sent for re-authorization.",﻿"통합 '%1' 재인증에 보내셨습니다"
"Integration '%1' has been sent for activation.",﻿"통합 '%1' 활성화에 보냈습니다"
"This user has no tokens.",﻿"이 사용자에 게 토큰이 없습니다."
"The tokens could not be revoked.",﻿"토큰은 삭제할 수 없습니다."
"Error happened while granting permissions. Check exception log for details.",﻿"권한을 인식 하는 동안 오류가 발생 했습니다. 자세한 내용은 예외 로그를 참조 하십시오"
"Error happened while deleting role and permissions. Check exception log for details.",﻿"역할 및 권한을 제거 하는 동안 오류가 발생 했습니다. 자세한 내용은 예외 로그를 참조 하십시오."
"This customer has no tokens.",﻿"이 클라이언트는 토큰이 없습니다."
"Integration with name '%1' exists.","'%1'という名のインテグレーションが存在します ""Integration with ID '%1' does not exist.""","インテグレーションID '%1' は存在しません ""Invalid Callback URL""","不正なコールバックURL ""Invalid Rejected Callback URL""","不正な拒否されたコールバックURL ""Incorrect timestamp value in the oauth_timestamp parameter""","oauth_timestampのパラメーターに不正なタイムスタンプの値 ""The nonce is already being used by the consumer with ID %1""","ID %1の顧客はすでにノンスに使われています ""An error occurred validating the nonce""","ノンスを審査中にエラーが発生しました ""Cannot convert to access token due to token is not request type""","トークンがリクエストタイプでないのでトークンに変換してアクセスできません ""Consumer key has expired""","顧客キーが期限切れです ""Cannot create request token because consumer token is not a verifier token""","顧客トークンが認証トークンでないのでリクエストトークンを作製できません ""Request token is not associated with the specified consumer""","リクエストトークンは指定の顧客と関連がありません ""Token is already being used""",トークンはすでに使われました
"Cannot get access token because consumer token is not a request token",﻿"클라이언트 토큰은 요청 토큰 아니기 때문에 토큰에 액세스할 수 없습니다."
"Token is not associated with the specified consumer",﻿"토큰은 특정 클라이언트와 연결 하지 않습니다"
"Token is not an access token",﻿"토큰은 액세스 토큰에 아닙니다"
"Access token has been revoked",﻿"액세스 토큰은 삭제 되었습니다."
"Consumer key is not the correct length",﻿"고객 열쇠는 올바른 길이 아닙니다"
"A consumer having the specified key does not exist",﻿"지정 된 키를 가진 고객은 존재 하지 않습니다."
"Verifier is invalid",﻿"인증을 사용할 수 있습니다"
"Verifier is not the correct length",﻿"인증이 올바른 길이 아닙니다"
"Token verifier and verifier token do not match",﻿"토큰 인증 및 인증 토큰이 일치 하지 않습니다"
"A consumer with the ID %1 does not exist",﻿"ID %1의 고객은 존재 하지 않습니다."
"Token is not the correct length",﻿"토큰은 올바른 길이 아닙니다"
"Specified token does not exist",﻿"지정 된 토큰이 없습니다."
"A token with consumer ID %1 does not exist",﻿"고객 ID %1의 토큰은 존재 하지 않습니다."
"Unexpected error. Unable to create oAuth consumer account.",﻿"알 수 없는 오류가 발생 했습니다. OAuth 클라이언트 계정을 만들기 수 없습니다"
"Unexpected error. Unable to load oAuth consumer account.",﻿"알 수 없는 오류가 발생 했습니다. OAuth 클라이언트 계정을 로드할 수 없습니다."
"A consumer with ID %1 does not exist",﻿"ID %1의 고객은 존재 하지 않습니다."
"Unable to post data to consumer due to an unexpected error",﻿"알 수 없는 오류 때문에 데이터를 클라이언트에 POST 수 없습니다"
"Consumer with ID '%1' does not exist.",﻿"ID '%1' 고객은 존재 하지 않습니다."
"Invalid token to except",﻿"예상 된 잘못 된 토큰"
"Integration with ID '%1' doesn't exist.",﻿"ID '%1'의 통합은 존재 하지 않습니다."
"A token with consumer ID 0 does not exist",﻿"고객 ID 0 토큰이 없습니다."
"The integration you selected asks you to approve access to the following:",﻿"선택한 통합은 다음에 대해 액세스를 요청 합니다:"
"No permissions requested",﻿"권한이 요청 되지 않습니다."
"Are you sure ?",﻿"정말 계속 하 시겠습니까?"
"Are you sure you want to delete this integration? You can't undo this action.",﻿"정말이 통합을 제거 하 시겠습니까? 이 작업은 시도 수 없습니다"
"Please setup or sign in into your 3rd party account to complete setup of this integration.",﻿"이 통합 설치를 완료할 수 있도록 타사 계정을 설정 하거나 로그인 하세요"
"Available APIs",﻿"효과적인 APIs"
"Sorry, something went wrong. Please try again later.","죄송 문제가 발생 했습니다. 나중에 다시 시도 하십시오."
Allow,﻿"허용"
Done,﻿"완료"
OAuth,﻿"OAuth"
"Cleanup Settings",﻿"정리"
"Cleanup Probability",﻿"정리 작업 빈도"
"Expiration Period",﻿"만료"
"Consumer Settings",﻿"클라이언트 설정"
"OAuth consumer credentials HTTP Post maxredirects",﻿"OAuth 클라이언트 인증 HTTP Post 최대 리디렉션"
"OAuth consumer credentials HTTP Post timeout",﻿"OAuth 클라이언트 인증 HTTP Post 시간"
"Integrations Configuration",﻿"통합 구성"
"Integration configuration file.",﻿"통합 구성 파일"
"Integrations API Configuration",﻿"통합 API 구성"
"Integrations API configuration file.",﻿"통합 API 구성 파일"
"No Integrations Found",﻿"통합을 찾을 수 없습니다."
"Total of %1 record(s) were deleted",﻿" 총 %1 레코드가 삭제 되었습니다."
"Search Term",﻿"검색 단어"
"Search Terms",﻿"검색 단어"
"Add New Search Term",﻿"새 단어를 추가"
"Save Search",﻿"검색 저장"
"Delete Search",﻿"검색 제거"
"Edit Search '%1'",﻿"검색 편집 '%1'"
"New Search",﻿"새 조건"
"Search Information",﻿"검색 정보"
"Search Query",﻿"검색 쿼리"
"Number of results",﻿"결과"
"Number of results (For the last time placed)",﻿"결과 (결과)"
"For the last time placed.",﻿"마지막 검색 결과 표시 건수 늘리기"
"Number of Uses",﻿"사용 단위"
"Synonym For",﻿"일명"
"Will make search for the query above return results for this search",﻿"위의 쿼리에서 검색 결과를 반환 합니다"
"Redirect URL",﻿"리디렉션 URL"
"ex. http://domain.com",﻿"보기: http://domain.com"
"Display in Suggested Terms",﻿"추천 문장 안에 표시"
"You deleted the search.",﻿"검색을 제거 했습니다."
"We can't find a search term to delete.",﻿"삭제할 검색 용어를 찾을 수 없습니다."
"This search no longer exists.",﻿"이 검색어는 존재 하지 않습니다."
"Edit Search",﻿"검색 편집"
"Please select searches.",﻿"검색을 선택 하십시오."
"Search Terms Report",﻿"수 색 기간 보고"
"You saved the search term.",﻿"검색 기간을 저장 했습니다."
"Something went wrong while saving the search query.",﻿"검색 쿼리를 저장 하는 동안 문제가 발생 했습니다."
"You already have an identical search term query.",﻿"이미 동일한 검색 용어 쿼리가 있습니다"
"Your search query can't be longer than %1, so we had to shorten your query.","검색 쿼리는 %1 보다 오랫동안 할 수 없기 때문에 쿼리를 단축 했습니다."
"Search entire store here...",﻿"상점에서 검색 ..."
"There are no search terms available.",﻿"유효한 검색 키워드가 없습니다."
"Search Engine",﻿"검색 엔진"
Hits,﻿"조회"
Synonym,﻿"동의어"
"Suggested Terms",﻿"제시 된 단어"
yes,﻿"yes"
no,﻿"no"
"Payment Method",﻿"지불 방법"
"Discount (%1)",﻿"할인 (%1)"
"Store View Specific Labels",﻿"뷰의 고유 상표"
"Shopping Cart Price Rule",﻿"쿠폰"
"Shopping Cart Price Rules",﻿"쿠폰"
"Update prices using the following information",﻿"상품의 가격을 다음과 같은 조건에서 업데이트 하기"
"Percent of product price discount",﻿"상품 가격 할인율이"
"Fixed amount discount",﻿"정액 할인"
"Fixed amount discount for whole cart",﻿"카트 전체의 고정 할인 금액"
"Buy X get Y free (discount amount is Y)",﻿"X를 구입 하 고 Y를 무료로 (Y 금액만 할인)"
"Maximum Qty Discount is Applied To",﻿"할인액 적용 최대 개수"
"Discount Qty Step (Buy X)",﻿"할인 대상 개수 단계 (X를 구매할 경우)"
"Apply to Shipping Amount",﻿"배송료에 적용 하기"
"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).",﻿"다음 조건에 부합 하는 카트 상품에만 규칙 적용 ' (모든 상품에는 비워 두기)."
"Apply To",﻿"적용 완료 날짜"
"Apply the rule only if the following conditions are met (leave blank for all products).",﻿"다음 조건이 충족 될 경우에만 규칙이 적용 됩니다. (전체 상품 입력란은 비워 두어야 합니다)."
"Manage Coupon Codes",﻿"쿠폰 코드 관리"
"Coupons Information",﻿"쿠폰 정보"
"Coupon Qty",﻿"쿠폰 수량"
"Code Length",﻿"코드 길이"
"Excluding prefix, suffix and separators.",プレフィックスとサフィックス、区切り文字を除外。
"Code Format",﻿"코드 형식"
"Code Prefix",﻿"부호 접두사"
"Code Suffix",﻿"코드 접미사"
"Dash Every X Characters",﻿"X 자 마다 하이픈을 넣는다"
"If empty no separation.",﻿"비어 있으면 나누지 않기"
"Times Used",﻿"사용 횟수"
"Are you sure you want to delete the selected coupon(s)?",﻿"선택한 쿠폰을 삭제 하 시겠습니까?"
Labels,﻿"레이블"
"Default Label",﻿"표준 레이블"
"Default Rule Label for All Store Views",﻿"전체 상점 뷰에 대 한 기본 쿠폰 이름"
Coupon,﻿"쿠폰"
"Use Auto Generation",﻿"자동 생성을 사용 하는"
"If you select and save the rule you will be able to generate multiple coupon codes.",﻿"이 규칙을 저장 하면 여러 쿠폰 코드를 만들 수 있습니다."
"Uses per Coupon",﻿"쿠폰 마다 사용 가능 수"
"Uses per Customer",﻿"클라이언트 당 사용 가능한 개수"
"Usage limit enforced for logged in customers only.",﻿"사용할 로그인 고객 제한"
"Public In RSS Feed",﻿"RSS 피드에 게시"
"%1 - Discounts and Coupons",﻿"%1-할인 쿠폰"
Coupons/Discounts,﻿"쿠폰/할인"
"Cart Price Rules",﻿"쿠폰"
"We can't delete the rule right now. Please review the log and try again.",﻿"현재 규칙은 삭제할 수 없습니다. 로그를 확인 하 고 다시 시도해 주시기 바랍니다."
"We can't find a rule to delete.",﻿"삭제할 규칙이 없습니다."
"New Cart Price Rule",﻿"새로운 쿠폰"
"Rule is not defined",﻿"쿠폰가 정의 되어 있지 않습니다"
"Invalid data provided",﻿"잘못 된 데이터가 제공 되었습니다."
"%1 coupon(s) have been generated.",﻿"%1 쿠폰이 생성 되었습니다."
"Something went wrong while generating coupons. Please review the log and try again.",﻿"쿠폰 제작 하는 동안 문제가 발생 했습니다. 로그를 확인 하 고 다시 시도해 라"
"The wrong rule is specified.",﻿"잘못 된 규칙을 지정 했습니다."
Alphanumeric,﻿"반자 영숫자"
Alphabetical,﻿"문자"
Numeric,﻿"숫자"
"We cannot create the requested Coupon Qty. Please check your settings and try again.",﻿"수요가 많은 수량의 쿠폰을 만들 수 없습니다. 설정을 확인 한 후 다시 시도해 주세요"
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.",﻿"""%2""에 따라 %1 쇼핑 쿠폰을 사용할 수 없습니다."
"Coupon with the same code",﻿"동일한 코드의 쿠폰이 있습니다"
"No Coupon",﻿"자동 적용 쿠폰"
"Specific Coupon",﻿"특정 쿠폰"
Auto,﻿"자동"
"Can't acquire coupon.",﻿"쿠폰을 적용할 수 없습니다."
"Total Items Quantity",﻿"총 상품 수"
"Total Weight",﻿"총 중량"
"Shipping Postcode",﻿"배송지 우편번호"
"Shipping Region",﻿"배송에 리어"
"Shipping State/Province",﻿"배송 지방/지역"
"Shipping Country",﻿"배송 국가"
"Product attribute combination",﻿"상품 속성의 조합"
"Products subselection",﻿"상품 임시 선택"
"Conditions combination",﻿"조건의 조합"
"Cart Attribute",﻿"카트 속성"
"Quantity in cart",﻿"장바구니의 수량"
"Price in cart",﻿"장바구니의 가격"
"Row total in cart",﻿"장바구니 행"
"Cart Item Attribute",﻿"카트 항목 속성"
FOUND,﻿"찾았습니다."
"NOT FOUND",﻿"찾을 수 없습니다."
"If an item is %1 in the cart with %2 of these conditions true:",﻿"만약 카트 상품 %1에서 %2이 조건이 트루 시간:"
"total quantity",﻿"총 수량"
"total amount",﻿"총 금액"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:",﻿" %1 %2 %3 하위 선택 장바구니 내의 상품에서 이러한 조건 하에서 %4 매칭 할 때:"
"Item totals are not set for the rule.",﻿"상품 합계는 규칙을 위해 설정 되어 있지 않은"
"Auto Generated Specific Coupon Codes",﻿"쿠폰 코드 자동 생성"
"Entity Sequence profile not added to meta active profile",﻿"엔터티의 시퀀스 프로필 메타 활성 프로필에 추가 되지 않는다"
"Not enough arguments",﻿"논쟁이 충분 하지 않습니다"
Gender,﻿"성별"
Adult,﻿"Adult"
Expires,﻿"만료"
Synchronize,﻿"동기화"
"This action will update items' attributes and remove items that are not available in Google Content. If an attribute was deleted from the mapping, it will also be deleted from Google. Do you want to continue?","이 작업은 개별 상품의 특성을 업데이트 하 고 Google 콘텐츠 잘못 된 상품을 삭제 합니다. 만일 특성이 매핑에서 제거 되 면 Google 에서도 삭제 됩니다. 계속 하 시겠습니까?"
"Add to Google Content",﻿"Google 콘텐츠 추가"
"View Item in Google Content",﻿"Google 콘텐츠를 전체 상품 보기"
"Add Attribute Mapping",﻿"매핑 속성 추가"
"Manage Attribute Mapping",﻿"매핑 속성 관리"
"Save Mapping",﻿"매핑 저장"
"Delete Mapping",﻿"매핑 제거"
"Edit attribute set mapping",﻿"속성 집합 매핑 편집"
"New attribute set mapping",﻿"새 속성 집합 매핑"
"Custom attribute, no mapping",カスタム属性、マッピング不可
"Attribute set mapping",﻿"속성 매핑"
"Target Country",﻿"대상국"
"Google Product Category",﻿"Google 제품 범주"
"Attributes Mapping",﻿"속성 매핑"
"Unable to select a Store View",﻿"스토어 뷰를 선택할 수 없습니다."
"Captcha has been confirmed.",﻿"Captcha를 확인 했습니다."
"There was a Captcha confirmation error: %1",﻿"Captcha 확인 오류가 발생 했습니다: %1"
"Something went wrong during Captcha confirmation.",﻿"Captcha 확인 하는 동안 문제가 발생 했습니다."
"Google Content",﻿"Google 콘텐츠"
"Google Content Items",﻿"Google 콘텐츠 상품"
"The store's currency should be set to %1 for %2 in system configuration."" "" Otherwise item prices won't be correct in Google Content.",﻿"통화는 시스템 설정에서 %2에 %1로 설정 될 것입니다 "" ""그렇지 않으면 상품 가격은 Google 콘텐츠 제대로 되지 않습니다"
